	liquid	tank_failure_pressure	liquid_ratio	tank_width	tank_length	tank_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_distance
P307	0	15.6	0.858561	1.8	7.4	1	0.4	435.6	362.2	0	0.2	5
P308	0	41.3	0.1786424	1.2	7	2	1.8	420.7	293.2	1	1.6	5
P309	0	22.6	0.8009177	1.8	5.8	3	0.6	324.4	297.6	1	0.6	5
P310	0	15	0.2543457	2.6	6.4	0.8	1.2	289.6	356	0	0.6	5
P311	0	6.6	0.3360976	3	8.8	0.6	1.2	439.7	342	0	0.4	5
P312	0	33	0.7186297	0.8	8	0.8	1.6	440.3	362.5	0	0.4	5
P313	0	14.1	0.14718	0.6	7.6	1.4	1.6	422.5	337.7	0	1.2	5
P314	0	38.5	0.1595584	0.8	1	2	1.2	403	329.8	1	1.6	5
P315	0	22.1	0.3539033	2.8	10	2.8	1.6	386	357.6	0	2	5
P316	0	31.8	0.3028599	2	2.4	2.4	1.2	313.6	313.7	1	1.6	5
P317	0	7.2	0.1312711	0.8	7.8	0.8	0.4	405.5	342.4	0	0.8	5
P318	0	5.5	0.7425795	2	9.8	2.6	0.8	404	340.2	0	0.8	5
P319	0	41.9	0.7590104	2	1.8	2	2	430.2	297.2	1	0.4	5
P320	0	39.7	0.6507112	1.6	3.4	0.6	1	368.2	324.7	1	0.2	5
P321	0	31.8	0.4166713	2	1.8	2	0.6	335.6	357.7	0	1.2	5
P322	0	39.9	0.5929779	0.8	8.2	2.2	0.8	335.3	353	1	0.8	5
P323	0	15.3	0.6870991	1.8	5.4	2.6	1.2	441.3	310.4	1	0.8	5
P324	0	19.7	0.6699582	2	3.8	1.4	1.2	342.1	363.6	0	0.6	5
P325	0	13.9	0.2469655	1.2	3	1	1.6	359.9	338.2	0	0.8	5
P326	0	33.8	0.179394	2.4	6	1.6	0.6	333.8	327.2	1	1.4	5
P327	0	7.6	0.7450619	0.8	6.2	2.8	0.6	355.8	295	0	0.8	5
P328	0	23.4	0.5281176	1.2	2.2	1	1.2	325.6	336.8	1	0.4	5
P329	0	8.3	0.2116037	2.6	8.2	2.8	0.6	450.5	293.5	0	2.4	5
P330	0	28	0.3067444	3	3.2	2.8	1.8	409.9	355.6	0	2	5
P331	0	16.8	0.7694516	1	3.6	0.6	0.8	332.3	330.6	0	0.2	5
P332	0	8.5	0.2190238	1.6	1.4	2	1.4	356.4	348.3	0	1.6	5
P333	0	39.1	0.2571571	2.6	2.8	2.4	1.8	452.4	345	1	1.8	5
P334	0	10.2	0.5600218	0.6	1.6	2.2	0.8	305.8	295.9	1	1	5
P335	0	42	0.7273085	1.6	7.6	0.6	1.2	354	339.4	1	0.2	5
P336	0	36.3	0.5825034	2	5.4	1.4	1.8	388.2	330.2	1	0.6	5
P337	0	30.5	0.2230771	2.8	1.4	0.6	1.2	431.7	286.8	1	0.4	5
P338	0	39.5	0.3237485	2.2	6	2.8	0.2	365.2	306.3	1	1.8	5
P339	0	26.2	0.3070224	3	6.6	2.8	0.2	440.3	329.7	1	2	5
P340	0	15.7	0.8143776	2.4	9.4	2.8	1.2	368.7	305.3	1	0.6	5
P341	0	27.5	0.1012124	0.6	1.2	1.4	0.2	329.8	322.8	1	1.2	5
P342	0	22.1	0.3986675	1.8	5.8	0.6	0.6	310.9	325.3	1	0.4	5
P343	0	13.8	0.1931944	2.6	9.4	2	1	330.2	339.2	0	1.8	5
P344	0	35.8	0.1321626	1.8	0.6	2.4	1.8	435.3	314.6	1	2	5
P345	0	15.4	0.2969947	0.6	7.8	2.8	2	344.8	320.6	0	2	5
P346	0	37.4	0.2748164	0.4	9.4	1.2	0.4	361	319.3	1	0.8	5
P347	0	9	0.3109999	1.8	8.2	2.6	0.2	338.5	349	0	1.8	5
P348	0	10.7	0.8816769	1.8	8.6	0.8	2	354.1	365.6	0	0.2	5
P349	0	31.7	0.4232819	1.8	0.6	1.4	0.2	432.9	343.8	1	0.8	5
P350	0	5.8	0.4062282	2	6.8	2.2	1.2	431.6	348.5	0	1.4	5
P351	0	16.9	0.1604534	0.6	1.6	2.6	0.4	286.3	350.6	0	2.2	5
P352	0	30.3	0.5641149	1.8	9.6	1.8	2	430.6	293.1	1	0.8	5
P353	0	35.7	0.6106058	1.4	8	1	0.4	407.8	356.6	1	0.4	5
P354	0	12.2	0.865116	0.8	4.4	2.6	1	409.2	368.4	0	0.4	5
P355	0	39	0.7195783	2	4	2.8	1.4	447.4	358.8	1	0.8	5
P356	0	24	0.6727409	3	3.4	0.4	0	396.5	358.2	0	0.2	5
P357	0	29.1	0.8229107	1	3	2	0.2	393.5	365.4	0	0.4	5
P358	0	16.5	0.5605416	1.8	6.2	0.6	0.6	289	312.9	1	0.2	5
P359	0	25	0.4319066	2.4	1.4	0.8	0.8	340	312.7	1	0.4	5
P360	0	39.8	0.5434354	0.8	7.8	1.6	0.8	430.6	359.1	1	0.8	5
P361	0	32.6	0.2636804	3	6.4	2.4	0.2	352.4	326.3	1	1.8	5
P362	0	9.2	0.7100807	2.6	8.6	2.2	0.8	285.6	353.4	0	0.8	5
P363	0	37.1	0.537031	1.8	6.6	0.4	0	327	355.6	1	0.2	5
P364	0	23.3	0.1900764	1.6	4.4	2.2	1.8	363.9	335.1	1	1.8	5
P365	0	36.3	0.4809901	0.6	4.6	2.6	0.6	361.1	359.4	1	1.4	5
P366	0	12.4	0.2232402	1.6	4.8	1.8	1.4	308.5	292.7	1	1.4	5
P367	0	20.3	0.81393	0.8	4.4	1.8	1.4	373.2	300.5	1	0.4	5
P368	0	25.3	0.5080934	1.6	3.2	0.8	0.4	382.3	320.7	1	0.4	5
P369	0	23	0.7467822	2.8	8.2	2	1.4	346.3	368.2	0	0.6	5
P370	0	36.7	0.8552744	0.4	0.4	1.8	0.6	354.9	340	1	0.2	5
P371	0	25.9	0.5456426	0.8	8.6	1	1.6	400.7	299.3	1	0.4	5
P372	0	36.6	0.7388278	2.4	4.4	1.6	1	416.3	367.3	0	0.6	5
P373	0	21.3	0.8117576	1.8	2.4	2.2	0.8	289.2	330.4	1	0.4	5
P374	0	19.8	0.1809216	2.6	2.2	1.6	1.2	432	321.4	1	1.4	5
P375	0	17	0.3773258	2.6	6.4	0.8	1.6	297	341.9	0	0.6	5
P376	0	12.4	0.6918641	2.2	3.4	0.6	1.8	364.4	348.3	0	0.2	5
P377	0	21	0.4410975	1.2	9	1.4	0.4	333.8	344.9	0	0.8	5
P378	0	37.7	0.7346134	0.6	4	0.6	2	439.8	338.7	1	0.2	5
P379	0	27.2	0.1079205	2.6	8.6	0.6	1	383	333.6	1	0.6	5
P380	0	34.3	0.1239906	0.6	5.8	0.8	1	445.6	307.6	1	0.8	5
P381	0	6.8	0.5644006	1.2	7	2.6	0.4	294.2	308	0	1.2	5
P382	0	12.6	0.7673742	1.4	4.4	0.8	1.2	424.7	322.5	0	0.2	5
P383	0	5.9	0.4974767	1	5.8	1.4	0.4	386.5	287.5	0	0.8	5
P384	0	37.5	0.8801967	1.8	8.4	2	0.8	402.6	288.7	1	0.2	5
P385	0	33.7	0.4209095	1.8	1	1.2	1	435.7	367	0	0.8	5
P386	0	36.4	0.5350824	2.2	9.6	2.8	0	370.4	358.9	1	1.4	5
P387	0	39.9	0.6656733	1.6	2.2	3	1.6	306.9	355.3	1	1	5
P388	0	24.6	0.570895	0.8	9.6	2.4	1.6	361.5	360.8	0	1.2	5
P389	0	5.9	0.8549403	0.4	7.8	2.6	0	388.4	315.2	0	0.4	5
P390	0	9.8	0.6157846	2.4	4.8	2.8	1.4	296.5	344.9	0	1.2	5
P391	0	7.1	0.7598488	0.6	7.6	2	0.8	322.1	367.6	0	0.6	5
P392	0	13.7	0.3905836	2	2	2.6	0.4	327	283.8	1	1.6	5
P393	0	25.4	0.7258914	2	8.6	0.8	0.2	398.4	321.9	1	0.2	5
P394	0	23.4	0.2622595	1.4	2	1.8	0.8	372.7	308.3	1	1.4	5
P395	0	29.3	0.1297878	1.8	1.2	1.2	0.8	384.8	335.8	1	1	5
P396	0	41.6	0.3815451	1	6.8	2.6	1.6	326.4	321.2	1	1.6	5
P397	0	6.2	0.8698981	3	6.8	0.8	0.6	340.5	358.8	0	0.2	5
P398	0	7.2	0.2796305	0.6	5.8	0.8	0.8	338.6	315.4	0	0.6	5
P399	0	40.8	0.238813	0.8	7.4	1	0.8	341.4	344.6	1	0.8	5
P400	0	17.3	0.6367946	2.2	7.6	1.6	0.2	330	323.7	0	0.6	5
P401	0	24.7	0.1100143	1.4	1.2	1.6	1.2	309.9	341.8	0	1.6	5
P402	0	38.5	0.7038235	0.4	6.6	2.2	0.8	384.5	311.2	1	0.6	5
P403	0	35.6	0.2457009	1	1.8	2.6	0.4	439.5	357.8	1	2	5
P404	0	16.1	0.7020649	2	7.4	0.6	1.8	438.4	346.2	0	0.2	5
P405	0	28	0.6524187	2.4	3.2	2	1	349.6	333.7	1	0.6	5
P406	0	38.4	0.2875409	0.6	8.2	2.8	0.8	318.2	341.9	1	2	5
P407	0	37.8	0.567155	1.2	7.4	2.4	1.4	432	357.1	1	1	5
P408	0	8	0.3098813	2.8	6.6	3	1.8	298.8	287.4	1	2	5
P409	0	28.3	0.4660879	1.8	9.2	3	0.4	377.6	287.1	1	1.6	5
P410	0	39.3	0.5966935	1.2	7.4	1.2	0.2	310.5	360.6	1	0.4	5
P411	0	21.8	0.3455045	0.8	4.6	1.8	0	331.9	289.2	1	1.2	5
P412	0	35.5	0.5949208	2.2	7.8	1.6	1.6	379.3	315.2	1	0.6	5
P413	0	10.5	0.5007534	0.6	4	1.4	0.2	452.9	292.8	1	0.6	5
P414	0	15.4	0.5414182	1.2	2.2	0.6	0.6	291.6	342.6	0	0.4	5
P415	0	32.1	0.5119339	2.6	4.4	1	2	329.1	362.6	0	0.6	5
P416	0	20.2	0.5860262	1.8	7.4	0.8	1	386.1	307.3	1	0.4	5
P417	0	20.1	0.1443997	1.4	9.8	2	0	401.3	322.2	1	1.8	5
P418	0	38.8	0.3405666	1	2.6	1.4	0	376.3	359.3	1	1	5
P419	0	33	0.7580622	2.2	8.2	3	0.8	307.8	358.1	0	0.8	5
P420	0	23.1	0.4133187	1.2	6.4	1	1.6	360	362.8	0	0.6	5
P421	0	13.8	0.3436841	1.4	0.8	1.6	0.4	414	313.7	0	1.2	5
P422	0	18.9	0.4787308	1	8.6	0.6	0.8	299.8	356.8	0	0.4	5
P423	0	37.6	0.4354898	1.2	6.6	2.4	0.6	324.6	287.9	1	1.4	5
P424	0	36.6	0.3887197	2.6	3.2	1.8	1	398.4	289.4	1	1.2	5
P425	0	8.6	0.3065858	2.6	8	1.6	0.8	430.8	357.9	0	1.2	5
P426	0	13.3	0.2854199	1.6	6.8	1	1.4	288.8	357.5	0	0.8	5
P427	0	32.6	0.1714285	0.8	5	0.6	0.8	333.7	338.3	1	0.4	5
P428	0	21.3	0.2595625	2.8	9.8	2	1	298.8	338.6	0	1.6	5
P429	0	34.3	0.7593248	2.2	8.8	3	1.4	338.1	313.3	1	0.8	5
P430	0	30.5	0.7924717	1.2	5.2	2	1.8	430.4	288.8	1	0.4	5
P431	0	30.1	0.4654321	1.8	10	2.6	0.2	415.5	310.8	1	1.4	5
P432	0	17.1	0.2757808	0.8	5	1	0.6	379.5	353.2	0	0.8	5
P433	0	20.7	0.1592156	2.2	4	2.4	2	317.8	324	1	2	5
P434	0	5.4	0.4448816	2.8	5	2.6	0.4	283.2	302.1	0	1.6	5
P435	0	5.4	0.6878784	2	1.6	2.6	0.2	317.1	295	0	1	5
P436	0	27	0.1136142	1	7	3	0.6	425.1	334.1	1	2.6	5
P437	0	6.6	0.5324184	1.2	7.6	2.4	1.4	407.7	307	0	1.2	5
P438	0	8.7	0.1166969	1.2	4.2	1.8	0	400.8	337.1	0	1.6	5
P439	0	28.9	0.1102959	2.6	8.6	1.2	0.4	393.8	328	1	1	5
P440	0	33.3	0.4475112	2.8	9	2.8	1.8	422.6	357.6	0	1.6	5
P441	0	37.3	0.151287	1.4	2.8	1.8	0.2	341.6	330.5	1	1.6	5
P442	0	24.2	0.6663636	3	5.8	1.4	0	385.2	367.8	0	0.6	5
P443	0	41.1	0.5822957	2.4	6.8	2	1.8	335.9	348.7	1	0.8	5
P444	0	29.1	0.7420931	1.6	7	2.2	1.8	326.8	345.5	1	0.6	5
P445	0	18.3	0.3566744	2.6	9.6	2.8	0.6	339.4	362.4	0	2	5
P446	0	38	0.8379203	0.6	4.4	1.4	0.4	351.8	358.2	1	0.2	5
P447	0	31.7	0.2772362	0.6	7.8	0.6	1.6	290.8	301.7	1	0.4	5
P448	0	41.1	0.4706666	1.8	1.4	2.8	0.4	415.3	340.6	1	1.4	5
P449	0	41.8	0.8574802	0.6	8.6	2.6	0.2	436.7	291	1	0.4	5
P450	0	19.5	0.8671489	1	8.2	1.4	1	398	363.5	0	0.2	5
P451	0	36	0.4720504	3	4.2	1	0.8	387.4	335.9	1	0.6	5
P452	0	34.8	0.5040589	2	3.8	2	0.8	419.1	343.6	1	1	5
P453	0	37	0.7697037	0.4	7	2.8	0.8	332.6	365.8	0	0.8	5
P454	0	36.7	0.2491861	2.4	2.6	0.8	1.4	371.5	352.8	1	0.6	5
P455	0	39.2	0.3079471	0.6	2	0.4	0.6	362.3	341.7	1	0.2	5
P456	0	36.5	0.5756893	2.4	3	1.4	1.4	411.9	313.2	1	0.6	5
P457	0	37.8	0.4789715	1.6	3.4	1.8	1.8	316.6	350.7	1	1	5
P458	0	13.2	0.1443406	1.8	2.4	2.2	1.2	426.9	329.9	0	2	5
P459	0	12.4	0.4077553	1.2	0.6	0.4	0.4	396.9	303.5	1	0.2	5
P460	0	40.5	0.1847961	2	1.6	1.2	1.6	445.3	288.3	1	1	5
P461	0	19.3	0.859089	3	2.6	2.6	0.6	432.3	342.4	0	0.4	5
P462	0	39.1	0.7103385	0.6	9.2	1	1.6	409.7	362.5	1	0.2	5
P463	0	32.8	0.5202616	1.6	4	1.2	0.4	327.8	295.8	1	0.6	5
P464	0	19.3	0.7001387	0.8	8.6	2.6	0.4	300.5	345.6	0	0.8	5
P465	0	40.4	0.4687965	2.4	0.8	1.6	1.4	376	322.6	1	0.8	5
P466	0	24.2	0.1065717	2.8	3	1.2	1	438.5	306.2	1	1	5
P467	0	10.2	0.554542	0.6	4	0.8	0.8	355	350.1	0	0.4	5
P468	0	19.7	0.4241425	0.4	3.8	1.2	1.2	369.3	330.5	0	0.8	5
P469	0	16.4	0.5398525	1.4	6.8	1.4	0.6	327.9	341.4	0	0.8	5
P470	0	31	0.3844918	2.4	6.4	2.4	1.8	332.6	346.1	1	1.4	5
P471	0	27.4	0.3344057	1.8	5.8	2.8	0.4	308.8	312	1	1.8	5
P472	0	29.9	0.4031246	1.2	6.8	0.8	1.8	420.6	294.3	1	0.4	5
P473	0	18.3	0.5500203	1.8	3.2	0.6	1.4	404.6	290.3	1	0.2	5
P474	0	22.5	0.698665	0.8	1.8	0.6	0.8	436.9	350.7	0	0.2	5
P475	0	18.1	0.7455719	1	1.4	0.6	0.4	393	327.6	0	0.2	5
P476	0	23.8	0.4396402	1	3.8	3	0.2	303.7	350.7	0	1.8	5
P477	0	40.1	0.404856	1.2	5.2	2.8	2	444.4	361.8	1	1.6	5
P478	0	13.9	0.5281463	0.6	3.6	1.8	1.8	442.1	352.4	0	1	5
P479	0	30.9	0.8028494	0.8	9.6	2.2	1.8	351.4	365.9	0	0.6	5
P480	0	26.8	0.1399479	1.4	0.6	1.6	0.6	371.7	284.5	1	1.4	5
P481	0	24.4	0.3813981	2	7.6	1.6	1.8	387.5	290.8	1	1	5
P482	0	30.2	0.3869178	1.4	7	1.2	2	424.2	360.8	0	0.8	5
P483	0	28.7	0.4293471	1.4	9.4	2.8	1	401.8	338.2	1	1.6	5
P484	0	15.9	0.5878068	2.2	6.2	1.2	0.6	406.9	310.4	1	0.4	5
P485	0	30.2	0.7176044	0.8	7.8	0.8	1.2	378.7	339.2	1	0.2	5
P486	0	37.9	0.412227	0.8	6.6	0.4	0.8	317.6	337.5	1	0.2	5
P487	0	38.7	0.5075582	2	3.2	2.6	1	446.6	297.8	1	1.2	5
P488	0	38.3	0.1303112	0.6	6.4	2.4	0.2	413.2	344.7	1	2	5
P489	0	5.8	0.5670416	2.8	7	1.2	0.2	383.3	341.7	0	0.6	5
P490	0	32.1	0.2783523	1.2	2.2	2	0.6	287.9	298.5	1	1.4	5
P491	0	35.1	0.3431517	2.6	3.6	1.4	1.2	332	291.4	1	1	5
P492	0	13.2	0.8970577	0.6	9.8	1.6	1.6	300.9	299	1	0.2	5
P493	0	10.7	0.8438706	2.8	1.6	2.8	1.6	289.5	359	0	0.6	5
P494	0	40.4	0.3143313	0.6	8.2	0.4	1.6	352.7	306.2	1	0.2	5
P495	0	34.7	0.2188422	2	8.2	0.8	0.4	435.6	363.2	0	0.8	5
P496	0	13	0.218564	2.2	8.8	1.8	1.6	447.7	308.7	1	1.4	5
P497	0	8.1	0.1707827	0.8	9.4	2.6	1.6	318.7	351	0	2.2	5
P498	0	18.7	0.789021	1.2	4.6	1.4	2	399.7	302.7	1	0.2	5
P499	0	40	0.551123	0.6	8.4	2	2	405	354.3	1	0.8	5
P500	0	11.5	0.4423211	1.4	2.8	1.2	1.4	388.2	366.7	0	0.8	5
B500	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.40	10
B501	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1.00	10
B502	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.40	10
B503	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.20	10
B504	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.40	10
B505	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.20	10
B506	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.40	10
B507	1	9.3	0.3428358	3	1	1.2	1.2	554.9	373.7	0	0.80	10
B508	1	8.3	0.7677645	0.6	8.8	0.8	1.4	346.6	412.5	0	0.20	10
B509	1	35.8	0.8939903	1.8	8	1	1.4	340	368.7	1	0.20	10
B510	1	22.3	0.3387812	1	6.6	1.6	0.8	386.1	392.6	1	1.00	10
B511	1	23.8	0.3692956	1.2	7.6	1	1.6	383.5	337.3	1	0.60	10
B512	1	17.4	0.5768433	0.8	9.4	2.2	1	371	330.7	1	1.00	10
B513	1	19.8	0.7774823	1.6	6	3	1.6	318	303.4	1	0.60	10
B514	1	11.2	0.1388207	0.8	4.4	0.8	1.8	363.6	283.5	1	0.60	10
B515	1	5.2	0.5114816	2.6	9.6	1.4	0.8	532	314.4	1	0.60	10
B516	1	18	0.3051463	1	3	0.6	1.4	397.2	396.3	0	0.60	10
B517	1	24.8	0.5106126	0.6	2	0.6	1.6	536.8	334	1	0.20	10
B518	1	37	0.2958338	2.6	0.6	0.6	1.6	463.5	391.2	1	0.40	10
B519	1	8.8	0.3284455	2.6	5.4	2.4	1.2	451.1	362.5	0	1.80	10
B520	1	10.2	0.696719	1.8	2.4	1.8	1	431.2	338.7	1	0.60	10
B521	1	13	0.1587601	0.6	2.2	1.8	1.8	528	411.3	0	1.60	10
B522	1	21.9	0.6492627	1.6	1.2	1.4	0.4	308.4	370.8	1	0.40	10
B523	1	5.1	0.6221378	0.8	1.8	2.4	0.4	505.5	372.3	0	1.00	10
B524	1	8.1	0.1160196	0.6	7.6	1.6	1.4	440.6	326	1	1.40	10
B525	1	25.3	0.4148703	2.8	4.4	0.6	1.4	341.8	328.4	1	0.40	10
B526	1	33.3	0.4893315	0.8	2.6	2.6	0.6	554.5	407.9	1	1.40	10
B527	1	33.2	0.7223814	0.6	8.6	0.6	1.2	392.8	381.3	1	0.20	10
B528	1	12.1	0.1188687	2.4	6	2.8	0	404.7	387.9	0	2.60	10
B529	1	28.4	0.8924361	1.6	2.4	2.2	0.6	333.7	358.6	1	0.20	10
B530	1	31.8	0.1276712	0.6	5.4	0.8	1.4	530.1	316.2	1	0.60	10
B531	1	16.2	0.2710621	2.8	2.6	1.2	0.6	506.9	320.5	1	0.80	10
B532	1	18.5	0.8692764	2.4	6.2	2.2	0.6	323.6	408.5	0	0.40	10
B533	1	36.2	0.2184631	1.6	6.6	3	2	522.4	376.5	1	2.40	10
B534	1	33.7	0.674915	1.8	4.2	1	0.4	357.8	293.4	1	0.40	10
B535	1	18.1	0.4116614	0.8	1.8	1.2	1.6	395.3	374	1	0.80	10
B536	1	13	0.8716177	2.2	2	1.8	0.2	448.2	344.9	1	0.20	10
B537	1	29.5	0.3078102	2.4	8.4	2.4	0	354.8	342	1	1.60	10
B538	1	18.8	0.170145	0.6	3	1.2	0.8	322.5	364.2	1	1.00	10
B539	1	14.3	0.6733788	2.6	9.2	2	0.4	308.8	291.4	1	0.60	10
B540	1	27.2	0.488326	1	9	1.8	1.2	379.5	317.1	1	1.00	10
B541	1	8.5	0.732974	1.8	1.6	1.2	1.6	432.6	325.6	1	0.40	10
B542	1	17.9	0.5129541	2.4	6.6	1	0.4	342	386.4	0	0.60	10
B543	1	36.2	0.8978866	1.6	5.4	2	0.2	429.6	328	1	0.20	10
B544	1	31.6	0.1344435	1.2	0.6	1	1.2	375.2	327.6	1	0.80	10
B545	1	33.8	0.7941444	1.2	0.8	1.4	0.4	283.9	349.7	1	0.20	10
B546	1	13	0.3042796	2.6	4.2	2.6	2	534.7	333.8	1	1.80	10
B547	1	16.6	0.3284939	0.8	7	1.2	1.2	563	319.7	1	0.80	10
B548	1	14.4	0.4930829	1.4	8.6	0.6	1.2	345	312.4	1	0.40	10
B549	1	37	0.2912144	1.2	4.8	2.2	0.2	348.5	296	1	1.60	10
B550	1	22.2	0.3847852	2.8	3.6	0.8	1.2	317	382.8	1	0.40	10
B551	1	18.4	0.2683935	1.6	8	1.4	1.8	321.4	392.8	0	1.20	10
B552	1	19.7	0.6341997	2.6	5.6	2.2	0.8	386	404.8	0	1.00	10
B553	1	22.2	0.6143974	0.6	6	2.2	0.8	300.2	359.9	1	0.80	10
B554	1	12.8	0.6671641	1.8	5.6	0.6	0.2	381.5	284.3	1	0.20	10
B555	1	17.5	0.4621649	1.2	4.8	2.2	0.2	327.2	398.9	0	1.20	10
B556	1	8.8	0.3746334	0.8	9.6	1.8	1.4	295.7	300.5	1	1.20	10
B557	1	13.2	0.3482221	1.4	8.2	1.2	0.6	323.9	349.3	1	0.80	10
B558	1	10.9	0.7690528	0.6	6.8	1.6	1.6	463.6	322.3	1	0.40	10
B559	1	33.4	0.5993857	2	1.4	0.4	2	312.5	321.6	1	0.20	10
B560	1	24	0.361789	0.8	5.6	2	0.8	432.5	364.8	1	1.20	10
B561	1	26.2	0.4012759	0.6	4.4	1	1.8	478.1	409.1	0	0.60	10
B562	1	17.9	0.3475468	1.8	8.6	1.6	1.6	327.4	308.4	1	1.00	10
B563	1	29.8	0.5526484	1	1	0.6	1.2	528	337.8	1	0.20	10
B564	1	28.3	0.4354704	2	2.4	1.2	2	286.4	342.9	1	0.60	10
B565	1	18.4	0.7951046	2.2	1.2	2.6	0.2	292.5	413.7	0	0.60	10
B566	1	34.9	0.3967998	2.2	3.4	1.4	1.2	426.4	408.4	1	0.80	10
B567	1	8.3	0.5151881	1.2	9.6	1	0.8	329.9	315.8	1	0.40	10
B568	1	36.6	0.8490283	2.2	2	2.4	2	318.3	407.1	1	0.40	10
B569	1	31.8	0.1390254	3	1.6	1.2	1.4	404.9	339.6	1	1.00	10
B570	1	21.9	0.7827038	0.6	5.8	1.4	1.4	550.2	327.5	1	0.40	10
B571	1	20.2	0.5853725	2.6	6	1.2	1.8	336.9	290.3	1	0.40	10
B572	1	30.4	0.8523124	2	0.6	0.8	1	451.7	399.4	1	0.20	10
B573	1	34.4	0.4041978	1.4	3.6	2.6	1.8	565.2	422.9	0	1.60	10
B574	1	25.6	0.8751045	0.8	4.2	1.8	1.2	536.9	348.8	1	0.20	10
B575	1	22.4	0.3654328	2.2	4.2	0.8	1	511.7	332.2	1	0.60	10
B576	1	34.1	0.4304861	3	6.6	2	1.8	547.3	413.6	1	1.20	10
B577	1	15.4	0.3616954	0.4	3	1	0.2	486.9	366.9	1	0.60	10
B578	1	12.2	0.8118394	1	9.2	2.4	1.6	532.5	292.7	1	0.40	10
B579	1	35.9	0.2315804	2	8.6	1	2	476.3	302.7	1	0.80	10
B580	1	18.3	0.5694878	2	7.2	1	0.2	540.4	319.1	1	0.40	10
B581	1	16.7	0.5505625	1.6	9.2	2.8	0.6	519.7	409	0	1.40	10
B582	1	7.9	0.7017251	2	3.4	0.4	1.4	532.6	418.9	0	0.20	10
B583	1	32.3	0.2557274	2.2	2	2.6	0.6	342.6	316.7	1	2.00	10
B584	1	8.3	0.3704778	0.6	5.4	2.2	1.4	512.9	285.3	1	1.40	10
B585	1	24.4	0.8138302	2	8.6	2.2	1.8	508	402	0	0.60	10
B586	1	19.6	0.1715834	1.6	9.4	2.2	0.2	546.8	359.1	1	1.80	10
B587	1	14.4	0.5225166	2.4	1	2	0.2	285.6	346	1	1.00	10
B588	1	15	0.6964062	0.8	4.4	0.6	1.6	518.2	308.8	1	0.20	10
B589	1	22.3	0.4738264	1.8	1.4	1.6	0.8	477.5	360	1	0.80	10
B590	1	8.6	0.3883961	1.4	8.6	2.2	0.6	308.3	403.2	0	1.40	10
B591	1	7.7	0.7573988	3	4.2	2.4	1.2	454.3	401.1	0	0.60	10
B592	1	13.5	0.6813783	0.6	2	0.8	0.4	326.2	320.8	1	0.20	10
B593	1	27	0.775352	2	3.4	2.6	0.6	547.5	383.7	1	0.60	10
B594	1	36.6	0.3369213	0.4	3.6	2.4	0.6	426.3	396.2	1	1.60	10
B595	1	9.9	0.6278925	1.6	8.2	1.2	0.6	313.8	405.1	0	0.60	10
B596	1	36.9	0.6450146	1.6	9.4	0.6	1	442.2	299	1	0.20	10
B597	1	20.2	0.4006062	1.6	9	2.4	1.6	379.7	403.2	0	1.60	10
B598	1	5.4	0.8449645	2.4	3	2.4	0.8	359.3	422.6	0	0.40	10
B599	1	24.7	0.754141	1	6.8	1.8	0.2	424.4	299.9	1	0.40	10
B600	1	33.8	0.7386966	1.4	4.2	2.2	0.6	362.3	403.7	1	0.60	10
B601	1	30.7	0.1812905	0.6	2	2.8	1.2	334.7	404.9	1	2.20	10
B602	1	21.6	0.4162865	1.4	9.8	2.4	0.6	483.6	381.9	1	1.40	10
B603	1	17.3	0.7022028	1.2	3.2	2	0.4	356.2	387.7	0	0.60	10
B604	1	14.5	0.3377996	0.6	8.6	1.8	0.4	504	422.4	0	1.20	10
B605	1	15.3	0.6934026	2.8	7	1.4	0.4	329.5	360.7	1	0.40	10
B606	1	12.8	0.4390628	1.6	7.4	1	0.6	406.5	380.2	0	0.60	10
B607	1	13.8	0.2211921	1.2	1.8	1.6	1	308.4	303.3	1	1.20	10
B608	1	9	0.6581477	1	3	1.2	2	382.4	375.1	0	0.60	10
B609	1	35.3	0.2585767	1.8	9.2	1.8	0.6	299.7	283.3	1	1.40	10
B610	1	28.9	0.4780034	0.6	8.6	1	1.8	309.3	317.6	1	0.60	10
B611	1	9.8	0.2025043	2.8	4.4	0.8	0.6	487.3	358.6	0	0.80	10
B612	1	16.8	0.3364263	2.8	8.6	2.2	0.4	389.9	387.2	0	1.60	10
B613	1	17.2	0.2285494	1.2	9.6	0.4	0	315.7	347.2	1	0.40	10
B614	1	36.1	0.8740138	2.2	3.4	1	1.8	301.9	393.5	1	0.20	10
B615	1	10.7	0.7355321	2.8	3.2	2.2	0.8	514.3	290	1	0.60	10
B616	1	13.4	0.6774268	2.2	1.6	1.2	0.2	427.7	378.1	0	0.40	10
